"id","semantic_key","check_type","subject_ids_json","result","witness_json","toolchain_json","recorded_at","status","metric_schema","metric_errors","metric_unique_ids","metric_resolving_xrefs","metric_pages","metric_fatal_errors","metric_undefined_references","metric_rerun_markers","record_json"
"urn:uuid:392c8aca-dcb7-5341-a806-39cbbd7526c3","lebl.ra.qa.volume1-complete.accessibility-2026-08-21","accessibility","[""urn:uuid:72496543-fe18-56bf-a793-aea3da305f2c"",""urn:uuid:2f1a60b7-96ef-594d-958e-3d985f9e4971""]","partial","{""kind"":""file"",""locator"":""backend/production/v0.3/inputs/R006_VOLUME1_COMPLETE_CHECKPOINT_20260821.md"",""sha256"":""sha256:82cba4bdec2dad69ce471550cdf0959c8200b58a9a6836ceed603451745df06a""}","[""PDF metadata/font inspection and PreTeXt accessibility-boundary review""]","2026-08-21T00:00:00Z","active","accessibility_pdf_v1","","","","","","","","{""check_type"":""accessibility"",""id"":""urn:uuid:392c8aca-dcb7-5341-a806-39cbbd7526c3"",""metrics"":{""embedded_font_rows"":142,""font_rows"":142,""metric_schema"":""accessibility_pdf_v1"",""unicode_unmapped_rows"":95},""note"":""All 142 PDF font rows are embedded, but the PDF is untagged and 95 rows lack Unicode maps; accessible HTML remains a later full-edition gate."",""record_type"":""qa_event"",""recorded_at"":""2026-08-21T00:00:00Z"",""result"":""partial"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.ra.qa.volume1-complete.accessibility-2026-08-21"",""status"":""active"",""subject_ids"":[""urn:uuid:72496543-fe18-56bf-a793-aea3da305f2c"",""urn:uuid:2f1a60b7-96ef-594d-958e-3d985f9e4971""],""supersedes_id"":null,""toolchain"":[""PDF metadata/font inspection and PreTeXt accessibility-boundary review""],""witness"":{""kind"":""file"",""locator"":""backend/production/v0.3/inputs/R006_VOLUME1_COMPLETE_CHECKPOINT_20260821.md"",""sha256"":""sha256:82cba4bdec2dad69ce471550cdf0959c8200b58a9a6836ceed603451745df06a""},""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.3-r006-live""}"
"urn:uuid:576a1e67-b88b-511f-8866-fb48db2b6776","lebl.ra.qa.adverse-ledger.lebl-id-adv-0042","accessibility","[""urn:uuid:5bcbc34d-9943-572d-9a58-0f00e0c0c62f""]","pass","{""kind"":""file"",""locator"":""backend/production/v0.3/inputs/ADVERSE_LEDGER.jsonl:LEBL-ID-ADV-0042"",""sha256"":""sha256:a097de099d1298d7bd3e3def79401827d6ca71be865cd1fb42e05e18c0ad54f7""}","[""adverse-ledger admission and recorded QA replay""]","2026-08-21T00:00:00Z","active","","","","","","","","","{""check_type"":""accessibility"",""id"":""urn:uuid:576a1e67-b88b-511f-8866-fb48db2b6776"",""note"":""independent inverse-theorem audit confirmed exact asset, topology, and protected surfaces outside declared corrections"",""record_type"":""qa_event"",""recorded_at"":""2026-08-21T00:00:00Z"",""result"":""pass"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.ra.qa.adverse-ledger.lebl-id-adv-0042"",""status"":""active"",""subject_ids"":[""urn:uuid:5bcbc34d-9943-572d-9a58-0f00e0c0c62f""],""supersedes_id"":null,""toolchain"":[""adverse-ledger admission and recorded QA replay""],""witness"":{""kind"":""file"",""locator"":""backend/production/v0.3/inputs/ADVERSE_LEDGER.jsonl:LEBL-ID-ADV-0042"",""sha256"":""sha256:a097de099d1298d7bd3e3def79401827d6ca71be865cd1fb42e05e18c0ad54f7""},""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.3-r006-live""}"
"urn:uuid:6c2fd550-695d-5b3c-8fb1-c348f14172dd","lebl.ra.qa.adverse-ledger.lebl-id-adv-0010","accessibility","[""urn:uuid:d8876a3c-8cdf-5076-b243-9f9de1f2d514""]","pass","{""kind"":""file"",""locator"":""backend/production/v0.3/inputs/ADVERSE_LEDGER.jsonl:LEBL-ID-ADV-0010"",""sha256"":""sha256:5548832afe6d358848dc9e287305901bac83a7d162895a7adfdb6d554832433b""}","[""adverse-ledger admission and recorded QA replay""]","2026-08-21T00:00:00Z","active","","","","","","","","","{""check_type"":""accessibility"",""id"":""urn:uuid:6c2fd550-695d-5b3c-8fb1-c348f14172dd"",""note"":""fresh 318-page build has zero U+0133 and 42 ordinary ij sequences on pages 1-56; fifteen regenerated visual witnesses are byte-identical"",""record_type"":""qa_event"",""recorded_at"":""2026-08-21T00:00:00Z"",""result"":""pass"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.ra.qa.adverse-ledger.lebl-id-adv-0010"",""status"":""active"",""subject_ids"":[""urn:uuid:d8876a3c-8cdf-5076-b243-9f9de1f2d514""],""supersedes_id"":null,""toolchain"":[""adverse-ledger admission and recorded QA replay""],""witness"":{""kind"":""file"",""locator"":""backend/production/v0.3/inputs/ADVERSE_LEDGER.jsonl:LEBL-ID-ADV-0010"",""sha256"":""sha256:5548832afe6d358848dc9e287305901bac83a7d162895a7adfdb6d554832433b""},""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.3-r006-live""}"
"urn:uuid:916818e2-b318-5a13-add6-755dc88b90eb","lebl.ra.qa.adverse-ledger.lebl-id-adv-0086","accessibility","[""urn:uuid:5f6c3f9e-8fd3-5e7a-bbf6-b6d050e604ac""]","partial","{""kind"":""file"",""locator"":""backend/production/v0.3/inputs/ADVERSE_LEDGER.jsonl:LEBL-ID-ADV-0086"",""sha256"":""sha256:adc94e19c888a1ac9b17d16ae3ac5dcf10e35cdc1df95ed9de9e8d1211c0dc4b""}","[""adverse-ledger admission and recorded QA replay""]","2026-08-21T00:00:00Z","active","","","","","","","","","{""check_type"":""accessibility"",""id"":""urn:uuid:916818e2-b318-5a13-add6-755dc88b90eb"",""note"":""the localized prose was checked directly against every arrow and endpoint in the retained tikzcd diagram"",""record_type"":""qa_event"",""recorded_at"":""2026-08-21T00:00:00Z"",""result"":""partial"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.ra.qa.adverse-ledger.lebl-id-adv-0086"",""status"":""active"",""subject_ids"":[""urn:uuid:5f6c3f9e-8fd3-5e7a-bbf6-b6d050e604ac""],""supersedes_id"":null,""toolchain"":[""adverse-ledger admission and recorded QA replay""],""witness"":{""kind"":""file"",""locator"":""backend/production/v0.3/inputs/ADVERSE_LEDGER.jsonl:LEBL-ID-ADV-0086"",""sha256"":""sha256:adc94e19c888a1ac9b17d16ae3ac5dcf10e35cdc1df95ed9de9e8d1211c0dc4b""},""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.3-r006-live""}"
"urn:uuid:10b67e77-6e72-59da-b532-573d7506dae6","lebl.ra.qa.adverse-ledger.lebl-id-adv-0081","build","[""urn:uuid:e201de2b-d9cf-5b6f-a024-59d8e9d1eb5e""]","pass","{""kind"":""file"",""locator"":""backend/production/v0.3/inputs/ADVERSE_LEDGER.jsonl:LEBL-ID-ADV-0081"",""sha256"":""sha256:c074abff268ae32f6ea4332da1bae66979d5d95661177e5d33c44121dbc59008""}","[""adverse-ledger admission and recorded QA replay""]","2026-08-21T00:00:00Z","active","","","","","","","","","{""check_type"":""build"",""id"":""urn:uuid:10b67e77-6e72-59da-b532-573d7506dae6"",""note"":""final generated XML parses as PreTeXt with xml:lang id-ID, 672 unique IDs, 952 xrefs, zero unresolved xrefs, and the decoded `<10` TeX test intact"",""record_type"":""qa_event"",""recorded_at"":""2026-08-21T00:00:00Z"",""result"":""pass"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.ra.qa.adverse-ledger.lebl-id-adv-0081"",""status"":""active"",""subject_ids"":[""urn:uuid:e201de2b-d9cf-5b6f-a024-59d8e9d1eb5e""],""supersedes_id"":null,""toolchain"":[""adverse-ledger admission and recorded QA replay""],""witness"":{""kind"":""file"",""locator"":""backend/production/v0.3/inputs/ADVERSE_LEDGER.jsonl:LEBL-ID-ADV-0081"",""sha256"":""sha256:c074abff268ae32f6ea4332da1bae66979d5d95661177e5d33c44121dbc59008""},""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.3-r006-live""}"
"urn:uuid:183a1360-b687-5f5f-8523-8d019e15c149","lebl.ra.qa.adverse-ledger.lebl-id-adv-0001","build","[""urn:uuid:0b0eab53-d3ad-5ea3-8601-a2ef84432794""]","partial","{""kind"":""file"",""locator"":""backend/production/v0.3/inputs/ADVERSE_LEDGER.jsonl:LEBL-ID-ADV-0001"",""sha256"":""sha256:8cf7283ba6b16fe23ac85203923631c7b3d655bbb1a85f78853d3af80ad1455b""}","[""adverse-ledger admission and recorded QA replay""]","2026-08-21T00:00:00Z","active","","","","","","","","","{""check_type"":""build"",""id"":""urn:uuid:183a1360-b687-5f5f-8523-8d019e15c149"",""note"":""strict isolated five-pass partial-Volume-I build completed at 330 pages with zero TeX errors and zero unresolved references"",""record_type"":""qa_event"",""recorded_at"":""2026-08-21T00:00:00Z"",""result"":""partial"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.ra.qa.adverse-ledger.lebl-id-adv-0001"",""status"":""active"",""subject_ids"":[""urn:uuid:0b0eab53-d3ad-5ea3-8601-a2ef84432794""],""supersedes_id"":null,""toolchain"":[""adverse-ledger admission and recorded QA replay""],""witness"":{""kind"":""file"",""locator"":""backend/production/v0.3/inputs/ADVERSE_LEDGER.jsonl:LEBL-ID-ADV-0001"",""sha256"":""sha256:8cf7283ba6b16fe23ac85203923631c7b3d655bbb1a85f78853d3af80ad1455b""},""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.3-r006-live""}"
"urn:uuid:9d9694b2-7d68-541e-9eba-dcea585a5656","lebl.ra.qa.volume1-complete.pdf-build-2026-08-21","build","[""urn:uuid:72496543-fe18-56bf-a793-aea3da305f2c""]","pass","{""kind"":""file"",""locator"":""backend/production/v0.3/inputs/R006_VOLUME1_COMPLETE_CHECKPOINT_20260821.md"",""sha256"":""sha256:82cba4bdec2dad69ce471550cdf0959c8200b58a9a6836ceed603451745df06a""}","[""five pdflatex passes; four makeindex/makeglossaries rounds""]","2026-08-21T00:00:00Z","active","pdf_build_v1","0","","","334","0","0","0","{""check_type"":""build"",""id"":""urn:uuid:9d9694b2-7d68-541e-9eba-dcea585a5656"",""metrics"":{""errors"":0,""fatal_errors"":0,""metric_schema"":""pdf_build_v1"",""pages"":334,""rerun_markers"":0,""undefined_references"":0},""note"":""The 334-page Volume I PDF passed the exact structural and converged-log gate."",""record_type"":""qa_event"",""recorded_at"":""2026-08-21T00:00:00Z"",""result"":""pass"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.ra.qa.volume1-complete.pdf-build-2026-08-21"",""status"":""active"",""subject_ids"":[""urn:uuid:72496543-fe18-56bf-a793-aea3da305f2c""],""supersedes_id"":null,""toolchain"":[""five pdflatex passes; four makeindex/makeglossaries rounds""],""witness"":{""kind"":""file"",""locator"":""backend/production/v0.3/inputs/R006_VOLUME1_COMPLETE_CHECKPOINT_20260821.md"",""sha256"":""sha256:82cba4bdec2dad69ce471550cdf0959c8200b58a9a6836ceed603451745df06a""},""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.3-r006-live""}"
"urn:uuid:0242e9b4-170a-5c28-9a02-5e28de8cfc98","lebl.ra.qa.adverse-ledger.lebl-id-adv-0046","source","[""urn:uuid:67a80b01-e07b-5529-9b3e-314b636a2570""]","partial","{""kind"":""file"",""locator"":""backend/production/v0.3/inputs/ADVERSE_LEDGER.jsonl:LEBL-ID-ADV-0046"",""sha256"":""sha256:007a5c27870c4c518ac107d48d4dc958e53914042922094def95692f142465f9""}","[""adverse-ledger admission and recorded QA replay""]","2026-08-21T00:00:00Z","active","","","","","","","","","{""check_type"":""source"",""id"":""urn:uuid:0242e9b4-170a-5c28-9a02-5e28de8cfc98"",""note"":""bounded partitions audit identified the grouping defect; root applied the minimal formula correction and rebound the semantic-unit hash"",""record_type"":""qa_event"",""recorded_at"":""2026-08-21T00:00:00Z"",""result"":""partial"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.ra.qa.adverse-ledger.lebl-id-adv-0046"",""status"":""active"",""subject_ids"":[""urn:uuid:67a80b01-e07b-5529-9b3e-314b636a2570""],""supersedes_id"":null,""toolchain"":[""adverse-ledger admission and recorded QA replay""],""witness"":{""kind"":""file"",""locator"":""backend/production/v0.3/inputs/ADVERSE_LEDGER.jsonl:LEBL-ID-ADV-0046"",""sha256"":""sha256:007a5c27870c4c518ac107d48d4dc958e53914042922094def95692f142465f9""},""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.3-r006-live""}"
"urn:uuid:0288e56e-84bb-5a3e-8c81-1120f7e9db96","lebl.ra.qa.adverse-ledger.lebl-id-adv-0055","source","[""urn:uuid:34e28bfb-c451-5dee-92b6-28da4d6ffbfe""]","pass","{""kind"":""file"",""locator"":""backend/production/v0.3/inputs/ADVERSE_LEDGER.jsonl:LEBL-ID-ADV-0055"",""sha256"":""sha256:fe5161c312954bd219a2511e7d02cc103af6ce40b67b6b837350373097103bce""}","[""adverse-ledger admission and recorded QA replay""]","2026-08-21T00:00:00Z","active","","","","","","","","","{""check_type"":""source"",""id"":""urn:uuid:0288e56e-84bb-5a3e-8c81-1120f7e9db96"",""note"":""independent improper-foundations audit and final replay confirmed the domain repair and exact remaining structure"",""record_type"":""qa_event"",""recorded_at"":""2026-08-21T00:00:00Z"",""result"":""pass"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.ra.qa.adverse-ledger.lebl-id-adv-0055"",""status"":""active"",""subject_ids"":[""urn:uuid:34e28bfb-c451-5dee-92b6-28da4d6ffbfe""],""supersedes_id"":null,""toolchain"":[""adverse-ledger admission and recorded QA replay""],""witness"":{""kind"":""file"",""locator"":""backend/production/v0.3/inputs/ADVERSE_LEDGER.jsonl:LEBL-ID-ADV-0055"",""sha256"":""sha256:fe5161c312954bd219a2511e7d02cc103af6ce40b67b6b837350373097103bce""},""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.3-r006-live""}"
"urn:uuid:05e36ca6-2dc3-5c6e-b0ea-17ef19a55aae","lebl.ra.qa.adverse-ledger.lebl-id-adv-0007","source","[""urn:uuid:0f253bac-3e2c-5e0f-ac96-01c95264a866""]","pass","{""kind"":""file"",""locator"":""backend/production/v0.3/inputs/ADVERSE_LEDGER.jsonl:LEBL-ID-ADV-0007"",""sha256"":""sha256:a8723d741808ce8c6a2d87227cfd00c611999b1b9777e70cfb2c6618fb9a804a""}","[""adverse-ledger admission and recorded QA replay""]","2026-08-21T00:00:00Z","active","","","","","","","","","{""check_type"":""source"",""id"":""urn:uuid:05e36ca6-2dc3-5c6e-b0ea-17ef19a55aae"",""note"":""logically determined trichotomy completion; bounded unit topology, formulas, and residue replay passed"",""record_type"":""qa_event"",""recorded_at"":""2026-08-21T00:00:00Z"",""result"":""pass"",""schema_name"":""lebl.backend.record"",""schema_version"":""0.3.0"",""semantic_aliases"":[],""semantic_key"":""lebl.ra.qa.adverse-ledger.lebl-id-adv-0007"",""status"":""active"",""subject_ids"":[""urn:uuid:0f253bac-3e2c-5e0f-ac96-01c95264a866""],""supersedes_id"":null,""toolchain"":[""adverse-ledger admission and recorded QA replay""],""witness"":{""kind"":""file"",""locator"":""backend/production/v0.3/inputs/ADVERSE_LEDGER.jsonl:LEBL-ID-ADV-0007"",""sha256"":""sha256:a8723d741808ce8c6a2d87227cfd00c611999b1b9777e70cfb2c6618fb9a804a""},""workflow_id"":""01a01f57-a34b-7740-9717-596b8116910c/backend-production-v0.3-r006-live""}"
